cgst,remarks,igst,sgst,purchasetype,taxable,order_id,display_code,chalanno,GRN No,GRN Date,PO No,PO Date,Supplier Name,Supplier Bill NO,Suplier Bill Date,Bill Amount,Cash Discount,Cash Discount %,Total Discount,Manual Discount,Round Off,Supplier Payable,GRN Amount,Branch Name,Payment Terms,GRN Type,Login ID,qty,GST CESS Amnt,GST Amnt,Supplier Code,Supplier State,Supplier GSTIN
1838.5887831116,pal ak,0,1838.5887831116,Auto,26688.74081466,PO1AAA2526,pal ak,PI1,PI1AAA2526,08/04/2025,PO1AAA2526,,KANHA JI DISTRIBUTORS,TI26AAA2526,03/04/2025,30366,0,0,0,0,0.081619116798,10332535.24,30366,JAYANTI ENTERPRISES,credit,credit,ADMIN,162,,3677.1775662232,100060,5,05AAECK5765H1ZE
850.1804021761,,0,850.1804021761,Auto,24412.467721450004,PO58AAA2425,,PI2,PI2AAA2526,08/04/2025,PO58AAA2425,,KANHA JI DISTRIBUTORS,TI6786AAA2425,26/03/2025,26113,0,0,0,0,0.171474197799,10332535.24,26113,JAYANTI ENTERPRISES,credit,credit,ADMIN,88,,1700.3608043522,100060,5,05AAECK5765H1ZE
490.93850052735,PAL AK,0,490.93850052735,Auto,13592.46351129,,PAL AK,PI3,PI3AAA2526,22/04/2025,,,KANHA JI DISTRIBUTORS,TI284AAA2526,16/04/2025,14574,0,0,0,0,-0.340512344699,10332535.24,14574,JAYANTI ENTERPRISES,credit,credit,ADMIN,9,,981.8770010547,100060,5,05AAECK5765H1ZE
241.9199027456,DIVYA AK,0,241.9199027456,Auto,7110.80254576,PO2AAA2526,DIVYA AK,PI4,PI4AAA2526,22/04/2025,PO2AAA2526,,KANHA JI DISTRIBUTORS,TI285AAA2526,16/04/2025,7595,0,0,0,0,0.357648748801,10332535.24,7595,JAYANTI ENTERPRISES,credit,credit,ADMIN,134,,483.8398054912,100060,5,05AAECK5765H1ZE
1608.335750794,OPEN ITEM AK,0,1608.335750794,Auto,28256.18603175,PO3AAA2526,PEN ITEM AK,PI5,PI5AAA2526,14/05/2025,PO3AAA2526,,KANHA JI DISTRIBUTORS,TI458AAA2526,23/04/2025,31473,0,0,0,0,0.142466661997,10332535.24,31473,JAYANTI ENTERPRISES,credit,credit,ADMIN,424,,3216.671501588,100060,5,05AAECK5765H1ZE
985.0763835331,PAL AK,0,985.0763835331,Auto,22864.62433479,,PAL AK,PI6,PI6AAA2526,14/05/2025,,,KANHA JI DISTRIBUTORS,TI459AAA2526,23/04/2025,24835,0,0,0,0,0.222898143802,10332535.24,24835,JAYANTI ENTERPRISES,credit,credit,ADMIN,15,,1970.1527670662,100060,5,05AAECK5765H1ZE
2348.13006973085,,0,2348.13006973085,Auto,51113.08227942999,PO4AAA2526,,PI7,PI7AAA2526,14/05/2025,PO4AAA2526,,KANHA JI DISTRIBUTORS,TI724AAA2526,08/05/2025,55809,0,0,0,0,-0.342418891705,10332535.24,55809,JAYANTI ENTERPRISES,credit,credit,ADMIN,25,,4696.2601394617,100060,5,05AAECK5765H1ZE
1947.24488505955,,0,1947.24488505955,Auto,35789.384735709995,,,PI8,PI8AAA2526,14/05/2025,,,KANHA JI DISTRIBUTORS,TI725AAA2526,08/05/2025,39684,0,0,0,0,0.125494170905,10332535.24,39684,JAYANTI ENTERPRISES,credit,credit,ADMIN,356,,3894.4897701191,100060,5,05AAECK5765H1ZE
288.6912,PAL AK,0,288.6912,Auto,3207.68,,PAL AK,PI9,PI9AAA2526,14/05/2025,,,KANHA JI DISTRIBUTORS,TI726AAA2526,08/05/2025,3785,0,0,0,0,-0.0624,10332535.24,3785,JAYANTI ENTERPRISES,credit,credit,ADMIN,5,,577.3824,100060,5,05AAECK5765H1ZE
959.5050651121,,0,959.5050651121,Auto,22164.55009468,,,PI10,PI10AAA2526,21/05/2025,,,KANHA JI DISTRIBUTORS,TI846AAA2526,14/05/2025,24084,0,0,0,0,0.4397750958,10332535.24,24084,JAYANTI ENTERPRISES,credit,credit,ADMIN,14,,1919.0101302242,100060,5,05AAECK5765H1ZE
